timestamp,carbondioxide
2026-02-05_00:00,1133
2026-02-05_00:02,1103
2026-02-05_00:04,1095
2026-02-05_00:06,992
2026-02-05_00:08,1112
2026-02-05_00:10,1157
2026-02-05_00:12,1139
2026-02-05_00:14,1161
2026-02-05_00:16,1129
2026-02-05_00:18,1109
2026-02-05_00:20,1172
2026-02-05_00:22,1095
2026-02-05_00:24,1059
2026-02-05_00:26,1130
2026-02-05_00:28,1151
2026-02-05_00:30,1180
2026-02-05_00:32,1144
2026-02-05_00:34,1171
2026-02-05_00:36,1157
2026-02-05_00:38,1106
2026-02-05_00:40,1148
2026-02-05_00:42,1150
2026-02-05_00:44,1162
2026-02-05_00:46,1065
2026-02-05_00:48,1081
2026-02-05_00:50,1138
2026-02-05_00:52,1178
2026-02-05_00:54,1171
2026-02-05_00:56,1192
2026-02-05_00:58,1141
2026-02-05_01:00,1157
2026-02-05_01:02,1164
2026-02-05_01:04,1103
2026-02-05_01:06,1252
2026-02-05_01:08,1065
2026-02-05_01:10,1077
2026-02-05_01:12,1102
2026-02-05_01:14,1184
2026-02-05_01:16,1225
2026-02-05_01:18,1167
2026-02-05_01:20,1127
2026-02-05_01:22,1193
2026-02-05_01:24,1144
2026-02-05_01:26,1198
2026-02-05_01:28,1203
2026-02-05_01:30,1070
2026-02-05_01:32,1229
2026-02-05_01:34,1236
2026-02-05_01:36,1198
2026-02-05_01:38,1135
2026-02-05_01:40,1176
2026-02-05_01:42,1200
2026-02-05_01:44,1191
2026-02-05_01:46,1207
2026-02-05_01:48,1186
2026-02-05_01:50,1134
2026-02-05_01:52,1111
2026-02-05_01:54,1234
2026-02-05_01:56,1155
2026-02-05_01:58,1163
2026-02-05_02:00,998
2026-02-05_02:02,1211
2026-02-05_02:04,1158
2026-02-05_02:06,1068
2026-02-05_02:08,1124
2026-02-05_02:10,1193
2026-02-05_02:12,1192
2026-02-05_02:14,1153
2026-02-05_02:16,1114
2026-02-05_02:18,1126
2026-02-05_02:20,1151
2026-02-05_02:22,1214
2026-02-05_02:24,990
2026-02-05_02:26,1091
2026-02-05_02:28,1099
2026-02-05_02:30,1095
2026-02-05_02:32,1102
2026-02-05_02:34,1145
2026-02-05_02:36,1152
2026-02-05_02:38,1052
2026-02-05_02:40,1192
2026-02-05_02:42,1095
2026-02-05_02:44,1161
2026-02-05_02:46,1081
2026-02-05_02:48,1114
2026-02-05_02:50,1162
2026-02-05_02:52,1072
2026-02-05_02:54,1142
2026-02-05_02:56,1037
2026-02-05_02:58,1051
2026-02-05_03:00,1125
2026-02-05_03:02,1058
2026-02-05_03:04,1124
2026-02-05_03:06,1038
2026-02-05_03:08,1092
2026-02-05_03:10,1077
2026-02-05_03:12,1132
2026-02-05_03:14,1075
2026-02-05_03:16,1099
2026-02-05_03:18,1061
2026-02-05_03:20,1057
2026-02-05_03:22,1146
2026-02-05_03:24,1075
2026-02-05_03:26,1148
2026-02-05_03:28,1162
2026-02-05_03:30,1055
2026-02-05_03:32,1172
2026-02-05_03:34,1090
2026-02-05_03:36,1109
2026-02-05_03:38,1130
2026-02-05_03:40,1035
2026-02-05_03:42,1161
2026-02-05_03:44,1213
2026-02-05_03:46,1183
2026-02-05_03:48,1076
2026-02-05_03:50,1074
2026-02-05_03:52,1147
2026-02-05_03:54,1099
2026-02-05_03:56,1096
2026-02-05_03:58,1062
2026-02-05_04:00,967
2026-02-05_04:02,1147
2026-02-05_04:04,1039
2026-02-05_04:06,1036
2026-02-05_04:08,1127
2026-02-05_04:10,1117
2026-02-05_04:12,1153
2026-02-05_04:14,1018
2026-02-05_04:16,1087
2026-02-05_04:18,1041
2026-02-05_04:20,1012
2026-02-05_04:22,1072
2026-02-05_04:24,1077
2026-02-05_04:26,1088
2026-02-05_04:28,1152
2026-02-05_04:30,1061
2026-02-05_04:32,1023
2026-02-05_04:34,1043
2026-02-05_04:36,1046
2026-02-05_04:38,1040
2026-02-05_04:40,1043
2026-02-05_04:42,1044
2026-02-05_04:44,1058
2026-02-05_04:46,1086
2026-02-05_04:48,1046
2026-02-05_04:50,1041
2026-02-05_04:52,1018
2026-02-05_04:54,1019
2026-02-05_04:56,1068
2026-02-05_04:58,1065
2026-02-05_05:00,1020
2026-02-05_05:02,1101
2026-02-05_05:04,1194
2026-02-05_05:06,1105
2026-02-05_05:08,1050
2026-02-05_05:10,1105
2026-02-05_05:12,1101
2026-02-05_05:14,1118
2026-02-05_05:16,1006
2026-02-05_05:18,1050
2026-02-05_05:20,1084
2026-02-05_05:22,1055
2026-02-05_05:24,1060
2026-02-05_05:26,1044
2026-02-05_05:28,1106
2026-02-05_05:30,1090
2026-02-05_05:32,1076
2026-02-05_05:34,1106
2026-02-05_05:36,1151
2026-02-05_05:38,1038
2026-02-05_05:40,1107
2026-02-05_05:42,1090
2026-02-05_05:44,1112
2026-02-05_05:46,1180
2026-02-05_05:48,1116
2026-02-05_05:50,1023
2026-02-05_05:52,1015
2026-02-05_05:54,1088
2026-02-05_05:56,1028
2026-02-05_05:58,1035
2026-02-05_06:00,1111
2026-02-05_06:02,1089
2026-02-05_06:04,1084
2026-02-05_06:06,1128
2026-02-05_06:08,1103
2026-02-05_06:10,1015
2026-02-05_06:12,1032
2026-02-05_06:14,1016
2026-02-05_06:16,980
2026-02-05_06:18,989
2026-02-05_06:20,1027
2026-02-05_06:22,1011
2026-02-05_06:24,1191
2026-02-05_06:26,989
2026-02-05_06:28,966
2026-02-05_06:30,1027
2026-02-05_06:32,1045
2026-02-05_06:34,1068
2026-02-05_06:36,1108
2026-02-05_06:38,1057
2026-02-05_06:40,1029
2026-02-05_06:42,1128
2026-02-05_06:44,1081
2026-02-05_06:46,1079
2026-02-05_06:48,1137
2026-02-05_06:50,981
2026-02-05_06:52,1091
2026-02-05_06:54,1126
2026-02-05_06:56,1064
2026-02-05_06:58,1134
2026-02-05_07:00,1190
2026-02-05_07:02,1160
2026-02-05_07:04,1148
2026-02-05_07:06,1141
2026-02-05_07:08,1201
2026-02-05_07:10,1186
2026-02-05_07:12,1168
2026-02-05_07:14,1171
2026-02-05_07:16,1106
2026-02-05_07:18,1129
2026-02-05_07:20,1264
2026-02-05_07:22,1064
2026-02-05_07:24,1158
2026-02-05_07:26,1082
2026-02-05_07:28,1107
2026-02-05_07:30,1232
2026-02-05_07:32,1238
2026-02-05_07:34,1252
2026-02-05_07:36,1316
2026-02-05_07:38,1165
2026-02-05_07:42,1169
2026-02-05_07:44,1255
2026-02-05_07:46,1221
2026-02-05_07:48,1119
2026-02-05_07:50,1213
2026-02-05_07:52,1105
2026-02-05_07:54,1195
2026-02-05_07:58,1171
2026-02-05_08:00,1161
2026-02-05_08:02,1165
2026-02-05_08:04,1226
2026-02-05_08:06,1144
2026-02-05_08:08,1083
2026-02-05_08:10,1222
2026-02-05_08:12,1259
2026-02-05_08:14,1228
2026-02-05_08:16,1139
2026-02-05_08:18,1100
2026-02-05_08:20,1130
2026-02-05_08:24,1116
2026-02-05_08:26,1170
2026-02-05_08:28,1193
2026-02-05_08:30,1133
2026-02-05_08:32,1100
2026-02-05_08:34,1091
2026-02-05_08:36,1237
2026-02-05_08:40,1241
2026-02-05_08:42,1191
2026-02-05_08:44,1266
2026-02-05_08:46,1294
2026-02-05_08:48,1328
2026-02-05_08:50,1279
2026-02-05_08:52,1273
2026-02-05_08:54,1308
2026-02-05_08:56,1263
2026-02-05_08:58,1239
2026-02-05_09:00,1275
2026-02-05_09:02,1268
2026-02-05_09:06,1314
2026-02-05_09:08,1397
2026-02-05_09:10,1334
2026-02-05_09:12,1296
2026-02-05_09:14,1210
2026-02-05_09:16,1237
2026-02-05_09:18,1260
2026-02-05_09:20,1350
2026-02-05_09:22,1223
2026-02-05_09:24,1182
2026-02-05_09:26,1144
2026-02-05_09:28,1218
2026-02-05_09:30,1228
2026-02-05_09:32,1235
2026-02-05_09:34,1247
2026-02-05_09:36,1236
2026-02-05_09:38,1246
2026-02-05_09:40,1257
2026-02-05_09:42,1198
2026-02-05_09:44,1161
2026-02-05_09:48,1293
2026-02-05_09:50,1151
2026-02-05_09:52,1174
2026-02-05_09:54,1256
2026-02-05_09:56,1253
2026-02-05_09:58,1286
2026-02-05_10:00,1263
2026-02-05_10:02,1133
2026-02-05_10:04,1266
2026-02-05_10:06,1179
2026-02-05_10:08,1130
2026-02-05_10:10,1260
2026-02-05_10:12,1250
2026-02-05_10:14,1181
2026-02-05_10:16,1191
2026-02-05_10:18,1127
2026-02-05_10:20,1210
2026-02-05_10:22,1170
2026-02-05_10:24,1301
2026-02-05_10:26,1277
2026-02-05_10:30,1142
2026-02-05_10:32,1265
2026-02-05_10:34,1275
2026-02-05_10:36,1157
2026-02-05_10:38,1240
2026-02-05_10:40,1251
2026-02-05_10:42,1160
2026-02-05_10:44,1348
2026-02-05_10:46,1286
2026-02-05_10:48,1109
2026-02-05_10:50,1234
2026-02-05_10:52,1182
2026-02-05_10:54,1167
2026-02-05_10:56,1061
2026-02-05_10:58,1278
2026-02-05_11:00,1133
2026-02-05_11:02,1163
2026-02-05_11:04,1255
2026-02-05_11:06,1193
2026-02-05_11:08,1225
2026-02-05_11:10,1138
2026-02-05_11:12,1188
2026-02-05_11:14,1211
2026-02-05_11:16,1192
2026-02-05_11:18,1279
2026-02-05_11:20,1219
2026-02-05_11:22,1151
2026-02-05_11:24,1150
2026-02-05_11:26,1216
2026-02-05_11:28,1136
2026-02-05_11:30,1159
2026-02-05_11:32,1156
2026-02-05_11:34,1183
2026-02-05_11:36,1118
2026-02-05_11:38,1206
2026-02-05_11:40,1184
2026-02-05_11:42,1242
2026-02-05_11:44,1243
2026-02-05_11:46,1231
2026-02-05_11:48,1134
2026-02-05_11:50,1235
2026-02-05_11:52,1148
2026-02-05_11:54,1170
2026-02-05_11:56,1167
2026-02-05_11:58,1159
2026-02-05_12:00,1068
2026-02-05_12:02,1129
2026-02-05_12:04,1150
2026-02-05_12:06,1218
2026-02-05_12:08,1238
2026-02-05_12:10,1185
2026-02-05_12:12,1157
2026-02-05_12:14,1156
2026-02-05_12:16,1224
2026-02-05_12:18,1193
2026-02-05_12:20,1246
2026-02-05_12:22,1152
2026-02-05_12:26,1193
2026-02-05_12:28,1223
2026-02-05_12:30,1172
2026-02-05_12:32,1294
2026-02-05_12:34,1169
2026-02-05_12:36,1150
2026-02-05_12:38,1193
2026-02-05_12:40,1201
2026-02-05_12:42,1177
2026-02-05_12:44,1199
2026-02-05_12:46,1161
2026-02-05_12:48,1130
2026-02-05_12:50,1213
2026-02-05_12:52,1098
2026-02-05_12:54,1147
2026-02-05_12:56,1183
2026-02-05_12:58,1126
2026-02-05_13:00,1190
2026-02-05_13:02,1227
2026-02-05_13:04,1133
2026-02-05_13:08,1128
2026-02-05_13:10,1122
2026-02-05_13:12,1087
2026-02-05_13:14,1208
2026-02-05_13:16,1211
2026-02-05_13:18,1174
2026-02-05_13:20,1128
2026-02-05_13:22,1251
2026-02-05_13:24,1253
2026-02-05_13:26,1183
2026-02-05_13:28,1080
2026-02-05_13:30,1270
2026-02-05_13:32,1260
2026-02-05_13:34,1254
2026-02-05_13:36,1159
2026-02-05_13:38,1209
2026-02-05_13:40,1134
2026-02-05_13:42,1165
2026-02-05_13:44,1200
2026-02-05_13:46,1203
2026-02-05_13:50,1197
2026-02-05_13:52,1115
2026-02-05_13:54,1180
2026-02-05_13:56,1107
2026-02-05_13:58,1119
2026-02-05_14:00,1179
2026-02-05_14:02,1202
2026-02-05_14:04,1183
2026-02-05_14:06,1279
2026-02-05_14:08,1209
2026-02-05_14:10,1198
2026-02-05_14:12,1251
2026-02-05_14:14,1277
2026-02-05_14:16,1274
2026-02-05_14:18,1228
2026-02-05_14:20,1304
2026-02-05_14:22,1241
2026-02-05_14:24,1236
2026-02-05_14:26,1227
2026-02-05_14:28,1128
2026-02-05_14:32,1162
2026-02-05_14:34,1240
2026-02-05_14:36,1289
2026-02-05_14:38,1259
2026-02-05_14:40,1182
2026-02-05_14:42,1160
2026-02-05_14:44,1247
2026-02-05_14:46,1244
2026-02-05_14:48,1278
2026-02-05_14:50,1203
2026-02-05_14:52,1147
2026-02-05_14:54,1148
2026-02-05_14:56,1211
2026-02-05_14:58,1240
2026-02-05_15:00,1254
2026-02-05_15:02,1268
2026-02-05_15:04,1222
2026-02-05_15:06,1206
2026-02-05_15:08,1107
2026-02-05_15:10,1290
2026-02-05_15:12,1110
2026-02-05_15:14,1117
2026-02-05_15:16,1206
2026-02-05_15:18,1094
2026-02-05_15:20,1224
2026-02-05_15:24,1181
2026-02-05_15:26,1072
2026-02-05_15:28,1253
2026-02-05_15:30,1212
2026-02-05_15:32,1202
2026-02-05_15:34,1196
2026-02-05_15:36,1088
2026-02-05_15:38,1147
2026-02-05_15:40,1131
2026-02-05_15:42,1164
2026-02-05_15:44,1236
2026-02-05_15:46,1259
2026-02-05_15:48,1049
2026-02-05_15:50,1114
2026-02-05_15:52,1184
2026-02-05_15:54,1151
2026-02-05_15:56,1140
2026-02-05_15:58,1197
2026-02-05_16:00,1242
2026-02-05_16:02,1220
2026-02-05_16:04,1244
2026-02-05_16:06,1231
2026-02-05_16:08,1211
2026-02-05_16:10,1133
2026-02-05_16:12,1246
2026-02-05_16:14,1263
2026-02-05_16:16,1246
2026-02-05_16:18,1264
2026-02-05_16:20,1254
2026-02-05_16:22,1239
2026-02-05_16:24,1274
2026-02-05_16:26,1182
2026-02-05_16:28,1164
2026-02-05_16:30,1086
2026-02-05_16:32,1162
2026-02-05_16:34,1115
2026-02-05_16:36,1206
2026-02-05_16:38,1134
2026-02-05_16:40,1157
2026-02-05_16:42,1122
2026-02-05_16:44,1226
2026-02-05_16:46,1163
2026-02-05_16:48,1206
2026-02-05_16:50,1116
2026-02-05_16:52,1207
2026-02-05_16:54,1143
2026-02-05_16:56,1174
2026-02-05_16:58,1151
2026-02-05_17:00,1208
2026-02-05_17:02,1236
2026-02-05_17:04,1181
2026-02-05_17:06,1077
2026-02-05_17:08,1157
2026-02-05_17:10,1184
2026-02-05_17:12,1228
2026-02-05_17:14,1263
2026-02-05_17:16,1080
2026-02-05_17:18,1109
2026-02-05_17:20,1164
2026-02-05_17:22,1194
2026-02-05_17:24,1209
2026-02-05_17:26,1230
2026-02-05_17:28,1212
2026-02-05_17:30,1085
2026-02-05_17:32,1120
2026-02-05_17:34,1090
2026-02-05_17:36,1142
2026-02-05_17:38,1100
2026-02-05_17:40,1128
2026-02-05_17:42,1085
2026-02-05_17:44,1021
2026-02-05_17:46,1151
2026-02-05_17:48,1184
2026-02-05_17:50,1112
2026-02-05_17:52,1163
2026-02-05_17:54,1178
2026-02-05_17:56,1073
2026-02-05_17:58,1092
2026-02-05_18:00,1116
2026-02-05_18:02,1226
2026-02-05_18:04,1102
2026-02-05_18:06,1146
2026-02-05_18:08,1145
2026-02-05_18:10,1194
2026-02-05_18:12,1120
2026-02-05_18:14,1147
2026-02-05_18:16,1021
2026-02-05_18:18,1211
2026-02-05_18:20,1153
2026-02-05_18:22,1072
2026-02-05_18:24,1125
2026-02-05_18:26,1081
2026-02-05_18:28,1102
2026-02-05_18:30,1119
2026-02-05_18:32,1116
2026-02-05_18:34,1088
2026-02-05_18:36,1068
2026-02-05_18:38,1135
2026-02-05_18:40,1116
2026-02-05_18:42,1130
2026-02-05_18:44,1114
2026-02-05_18:46,1094
2026-02-05_18:48,1110
2026-02-05_18:50,1028
2026-02-05_18:52,1162
2026-02-05_18:54,1045
2026-02-05_18:56,1038
2026-02-05_18:58,1145
2026-02-05_19:00,1137
2026-02-05_19:02,1065
2026-02-05_19:04,1095
2026-02-05_19:06,1066
2026-02-05_19:08,1022
2026-02-05_19:10,1072
2026-02-05_19:12,1069
2026-02-05_19:14,1094
2026-02-05_19:16,1100
2026-02-05_19:18,1099
2026-02-05_19:20,1027
2026-02-05_19:22,951
2026-02-05_19:24,1158
2026-02-05_19:26,1112
2026-02-05_19:28,1141
2026-02-05_19:30,1130
2026-02-05_19:32,1114
2026-02-05_19:34,1168
2026-02-05_19:36,1165
2026-02-05_19:38,1058
2026-02-05_19:40,1106
2026-02-05_19:42,1186
2026-02-05_19:44,1096
2026-02-05_19:46,1119
2026-02-05_19:48,1039
2026-02-05_19:50,1087
2026-02-05_19:52,1125
2026-02-05_19:54,1135
2026-02-05_19:56,1024
2026-02-05_19:58,1104
2026-02-05_20:00,1204
2026-02-05_20:02,1112
2026-02-05_20:04,968
2026-02-05_20:06,1093
2026-02-05_20:08,1139
2026-02-05_20:10,1112
2026-02-05_20:12,1102
2026-02-05_20:14,1061
2026-02-05_20:16,1120
2026-02-05_20:18,1102
2026-02-05_20:20,1055
2026-02-05_20:22,1179
2026-02-05_20:24,1080
2026-02-05_20:26,1058
2026-02-05_20:28,1055
2026-02-05_20:30,1077
2026-02-05_20:32,1046
2026-02-05_20:34,1087
2026-02-05_20:36,996
2026-02-05_20:38,1042
2026-02-05_20:40,1032
2026-02-05_20:42,1065
2026-02-05_20:44,1084
2026-02-05_20:46,1151
2026-02-05_20:48,1045
2026-02-05_20:50,1123
2026-02-05_20:52,1045
2026-02-05_20:54,1002
2026-02-05_20:56,1025
2026-02-05_20:58,955
2026-02-05_21:00,1048
2026-02-05_21:02,1039
2026-02-05_21:04,1011
2026-02-05_21:06,1040
2026-02-05_21:08,1046
2026-02-05_21:10,1038
2026-02-05_21:12,1104
2026-02-05_21:14,1073
2026-02-05_21:16,1024
2026-02-05_21:18,992
2026-02-05_21:20,1016
2026-02-05_21:22,1026
2026-02-05_21:24,986
2026-02-05_21:26,908
2026-02-05_21:28,1042
