timestamp,humidity
2026-02-07_00:00,56.68
2026-02-07_00:02,56.65
2026-02-07_00:04,56.72
2026-02-07_00:06,56.61
2026-02-07_00:08,56.19
2026-02-07_00:10,56.72
2026-02-07_00:12,55.74
2026-02-07_00:14,55.92
2026-02-07_00:16,55.44
2026-02-07_00:18,55.02
2026-02-07_00:20,54.75
2026-02-07_00:22,54.53
2026-02-07_00:24,54.54
2026-02-07_00:26,54.41
2026-02-07_00:28,54.33
2026-02-07_00:30,54.51
2026-02-07_00:32,54.59
2026-02-07_00:34,54.78
2026-02-07_00:36,54.49
2026-02-07_00:38,54.62
2026-02-07_00:40,54.73
2026-02-07_00:42,54.96
2026-02-07_00:44,55.18
2026-02-07_00:46,54.86
2026-02-07_00:48,54.77
2026-02-07_00:50,54.93
2026-02-07_00:52,54.64
2026-02-07_00:54,54.60
2026-02-07_00:56,54.74
2026-02-07_00:58,54.92
2026-02-07_01:00,54.94
2026-02-07_01:02,54.65
2026-02-07_01:04,55.14
2026-02-07_01:06,54.98
2026-02-07_01:08,54.93
2026-02-07_01:10,54.91
2026-02-07_01:12,55.18
2026-02-07_01:14,54.63
2026-02-07_01:16,54.47
2026-02-07_01:18,55.13
2026-02-07_01:20,54.79
2026-02-07_01:22,54.91
2026-02-07_01:24,54.65
2026-02-07_01:26,54.56
2026-02-07_01:28,54.93
2026-02-07_01:30,54.82
2026-02-07_01:32,54.87
2026-02-07_01:34,55.11
2026-02-07_01:36,55.17
2026-02-07_01:38,54.62
2026-02-07_01:40,54.98
2026-02-07_01:42,55.26
2026-02-07_01:44,54.86
2026-02-07_01:46,55.10
2026-02-07_01:48,55.14
2026-02-07_01:50,55.29
2026-02-07_01:52,55.29
2026-02-07_01:54,55.20
2026-02-07_01:56,54.98
2026-02-07_01:58,55.04
2026-02-07_02:00,54.89
2026-02-07_02:02,54.43
2026-02-07_02:04,54.85
2026-02-07_02:06,54.84
2026-02-07_02:08,54.68
2026-02-07_02:10,54.95
2026-02-07_02:12,54.70
2026-02-07_02:14,54.38
2026-02-07_02:16,54.89
2026-02-07_02:18,54.63
2026-02-07_02:20,54.69
2026-02-07_02:22,55.03
2026-02-07_02:24,55.00
2026-02-07_02:26,55.41
2026-02-07_02:28,55.69
2026-02-07_02:30,55.82
2026-02-07_02:32,55.85
2026-02-07_02:34,56.29
2026-02-07_02:36,56.45
2026-02-07_02:38,56.39
2026-02-07_02:40,56.36
2026-02-07_02:42,56.42
2026-02-07_02:44,55.86
2026-02-07_02:46,55.24
2026-02-07_02:48,55.68
2026-02-07_02:50,55.35
2026-02-07_02:52,55.54
2026-02-07_02:54,55.77
2026-02-07_02:56,54.90
2026-02-07_02:58,55.28
2026-02-07_03:00,55.88
