timestamp,carbondioxide
2026-02-04_00:00,997
2026-02-04_00:02,1107
2026-02-04_00:04,1039
2026-02-04_00:06,1055
2026-02-04_00:08,1084
2026-02-04_00:10,1076
2026-02-04_00:12,1027
2026-02-04_00:14,1180
2026-02-04_00:16,1062
2026-02-04_00:18,1001
2026-02-04_00:20,1020
2026-02-04_00:22,1115
2026-02-04_00:24,981
2026-02-04_00:26,1084
2026-02-04_00:28,1038
2026-02-04_00:30,1084
2026-02-04_00:32,1032
2026-02-04_00:34,992
2026-02-04_00:36,992
2026-02-04_00:38,1101
2026-02-04_00:40,1053
2026-02-04_00:42,1089
2026-02-04_00:44,1063
2026-02-04_00:46,1055
2026-02-04_00:48,1042
2026-02-04_00:50,1095
2026-02-04_00:52,962
2026-02-04_00:54,1054
2026-02-04_00:56,965
2026-02-04_00:58,1103
2026-02-04_01:00,1074
2026-02-04_01:02,993
2026-02-04_01:04,1042
2026-02-04_01:06,1089
2026-02-04_01:08,1026
2026-02-04_01:10,1020
2026-02-04_01:12,988
2026-02-04_01:14,995
2026-02-04_01:16,1063
2026-02-04_01:18,1033
2026-02-04_01:20,961
2026-02-04_01:22,1070
2026-02-04_01:24,969
2026-02-04_01:26,1018
2026-02-04_01:28,1014
2026-02-04_01:30,1136
2026-02-04_01:32,1050
2026-02-04_01:34,965
2026-02-04_01:36,1059
2026-02-04_01:38,1078
2026-02-04_01:40,1015
2026-02-04_01:42,961
2026-02-04_01:44,978
2026-02-04_01:46,994
2026-02-04_01:48,1006
2026-02-04_01:50,944
2026-02-04_01:52,1091
2026-02-04_01:54,1021
2026-02-04_01:56,1037
2026-02-04_01:58,1047
2026-02-04_02:00,996
2026-02-04_02:02,984
2026-02-04_02:04,1039
2026-02-04_02:06,1022
2026-02-04_02:08,1043
2026-02-04_02:10,1003
2026-02-04_02:12,920
2026-02-04_02:14,916
2026-02-04_02:16,1076
2026-02-04_02:18,1072
2026-02-04_02:20,1054
2026-02-04_02:22,901
2026-02-04_02:24,916
2026-02-04_02:26,996
2026-02-04_02:28,1004
2026-02-04_02:30,966
2026-02-04_02:32,927
2026-02-04_02:34,988
2026-02-04_02:36,976
2026-02-04_02:38,994
2026-02-04_02:40,1048
2026-02-04_02:42,938
2026-02-04_02:44,998
2026-02-04_02:46,1027
2026-02-04_02:48,1015
2026-02-04_02:50,1030
2026-02-04_02:52,945
2026-02-04_02:54,1031
2026-02-04_02:56,956
2026-02-04_02:58,971
2026-02-04_03:00,1024
2026-02-04_03:02,988
2026-02-04_03:04,1009
2026-02-04_03:06,959
2026-02-04_03:08,868
2026-02-04_03:10,1025
2026-02-04_03:12,1024
2026-02-04_03:14,1018
2026-02-04_03:16,974
2026-02-04_03:18,1026
2026-02-04_03:20,945
2026-02-04_03:22,947
2026-02-04_03:24,920
2026-02-04_03:26,878
2026-02-04_03:28,928
2026-02-04_03:30,991
2026-02-04_03:32,892
2026-02-04_03:34,981
2026-02-04_03:36,912
2026-02-04_03:38,946
2026-02-04_03:40,1030
2026-02-04_03:42,1023
2026-02-04_03:44,816
2026-02-04_03:46,920
2026-02-04_03:48,982
2026-02-04_03:50,906
2026-02-04_03:52,1001
2026-02-04_03:54,975
2026-02-04_03:56,969
2026-02-04_03:58,1004
2026-02-04_04:00,911
2026-02-04_04:02,979
2026-02-04_04:04,964
2026-02-04_04:06,978
2026-02-04_04:08,920
2026-02-04_04:10,946
2026-02-04_04:12,907
2026-02-04_04:14,854
2026-02-04_04:16,973
2026-02-04_04:18,937
2026-02-04_04:20,947
2026-02-04_04:22,1024
2026-02-04_04:24,842
2026-02-04_04:26,969
2026-02-04_04:28,960
2026-02-04_04:30,972
2026-02-04_04:32,939
2026-02-04_04:34,948
2026-02-04_04:36,979
2026-02-04_04:38,1042
2026-02-04_04:40,971
2026-02-04_04:42,966
2026-02-04_04:44,900
2026-02-04_04:46,990
2026-02-04_04:48,856
2026-02-04_04:50,959
2026-02-04_04:52,971
2026-02-04_04:54,1009
2026-02-04_04:56,935
2026-02-04_04:58,886
2026-02-04_05:00,1005
2026-02-04_05:02,889
2026-02-04_05:04,940
2026-02-04_05:06,1010
2026-02-04_05:08,885
2026-02-04_05:10,973
2026-02-04_05:12,950
2026-02-04_05:14,853
2026-02-04_05:16,804
2026-02-04_05:18,998
2026-02-04_05:20,935
2026-02-04_05:22,995
2026-02-04_05:24,942
2026-02-04_05:26,971
2026-02-04_05:28,978
2026-02-04_05:30,936
2026-02-04_05:32,943
2026-02-04_05:34,977
2026-02-04_05:36,902
2026-02-04_05:38,897
2026-02-04_05:40,938
2026-02-04_05:42,830
2026-02-04_05:44,923
2026-02-04_05:46,921
2026-02-04_05:48,891
2026-02-04_05:50,909
2026-02-04_05:52,901
2026-02-04_05:54,1010
2026-02-04_05:56,869
2026-02-04_05:58,860
2026-02-04_06:00,879
2026-02-04_06:02,936
2026-02-04_06:04,926
2026-02-04_06:06,970
2026-02-04_06:08,864
2026-02-04_06:10,908
2026-02-04_06:12,975
2026-02-04_06:14,973
2026-02-04_06:16,933
2026-02-04_06:18,911
2026-02-04_06:20,937
2026-02-04_06:22,956
2026-02-04_06:24,942
2026-02-04_06:26,930
2026-02-04_06:28,937
