timestamp,carbondioxide
2026-02-03_00:00,898
2026-02-03_00:02,933
2026-02-03_00:04,922
2026-02-03_00:06,986
2026-02-03_00:08,905
2026-02-03_00:10,1018
2026-02-03_00:12,947
2026-02-03_00:14,812
2026-02-03_00:16,926
2026-02-03_00:18,914
2026-02-03_00:20,865
2026-02-03_00:22,963
2026-02-03_00:24,898
2026-02-03_00:26,949
2026-02-03_00:28,875
2026-02-03_00:30,986
2026-02-03_00:32,861
2026-02-03_00:34,805
2026-02-03_00:36,870
2026-02-03_00:38,903
2026-02-03_00:40,901
2026-02-03_00:42,855
2026-02-03_00:44,919
2026-02-03_00:46,908
2026-02-03_00:48,791
2026-02-03_00:50,884
2026-02-03_00:52,895
2026-02-03_00:54,880
2026-02-03_00:56,999
2026-02-03_00:58,881
2026-02-03_01:00,905
2026-02-03_01:02,919
2026-02-03_01:04,838
2026-02-03_01:06,868
2026-02-03_01:08,796
2026-02-03_01:10,966
2026-02-03_01:12,910
2026-02-03_01:14,878
2026-02-03_01:16,941
2026-02-03_01:18,868
2026-02-03_01:20,854
2026-02-03_01:22,955
2026-02-03_01:24,870
2026-02-03_01:26,886
2026-02-03_01:28,891
2026-02-03_01:30,929
2026-02-03_01:32,928
2026-02-03_01:34,862
2026-02-03_01:36,880
2026-02-03_01:38,851
2026-02-03_01:40,930
2026-02-03_01:42,879
2026-02-03_01:44,862
2026-02-03_01:46,878
2026-02-03_01:48,921
2026-02-03_01:50,865
2026-02-03_01:52,831
2026-02-03_01:54,887
2026-02-03_01:56,939
2026-02-03_01:58,866
2026-02-03_02:00,888
2026-02-03_02:02,864
2026-02-03_02:04,938
2026-02-03_02:06,972
2026-02-03_02:08,869
2026-02-03_02:10,857
2026-02-03_02:12,851
2026-02-03_02:14,857
2026-02-03_02:16,872
2026-02-03_02:18,919
2026-02-03_02:20,826
2026-02-03_02:22,962
2026-02-03_02:24,766
2026-02-03_02:26,727
2026-02-03_02:28,871
2026-02-03_02:30,815
2026-02-03_02:32,876
2026-02-03_02:34,879
2026-02-03_02:36,928
2026-02-03_02:38,916
2026-02-03_02:40,981
2026-02-03_02:42,1014
2026-02-03_02:44,1051
2026-02-03_02:46,1040
2026-02-03_02:48,883
2026-02-03_02:50,946
2026-02-03_02:52,923
2026-02-03_02:54,975
2026-02-03_02:56,954
2026-02-03_02:58,949
2026-02-03_03:00,955
2026-02-03_03:02,907
2026-02-03_03:04,845
2026-02-03_03:06,949
2026-02-03_03:08,929
2026-02-03_03:10,1002
2026-02-03_03:12,952
2026-02-03_03:14,898
2026-02-03_03:16,990
2026-02-03_03:18,936
2026-02-03_03:20,922
2026-02-03_03:22,951
2026-02-03_03:24,981
2026-02-03_03:26,901
2026-02-03_03:28,951
2026-02-03_03:30,894
2026-02-03_03:32,947
2026-02-03_03:34,994
2026-02-03_03:36,938
2026-02-03_03:38,986
2026-02-03_03:40,1012
2026-02-03_03:42,903
2026-02-03_03:44,836
2026-02-03_03:46,816
2026-02-03_03:48,919
2026-02-03_03:50,866
2026-02-03_03:52,957
2026-02-03_03:54,906
2026-02-03_03:56,973
